Name,Park,City,Type,Height,Speed,Length,Inversions?,Num of Inversions,Durration,Year,Manufacturer,Model Name,Region
Apocalpyse the Ride,Six Flags Magic Mountain,Valencia,Wood,95,50.1,2877,No,0,300,2009,Great Coasters International,GCI Wooden Coaster,S
Batman The Ride,Six Flags Discovery Kingdom,Vallejo,Steel,120,38,1019,No,0,NA,2019,S&S Sansei,4D Free Spin,N
Batman The Ride,Six Flags Magic Mountain,Valencia,Steel,105,50,2700,Yes,5,200,1994,Bollinger & Mabillard,Inverted Coaster,S
Big Thunder Mountain Railroad,Disneyland,Anaheim,Steel,104,28,2671,No,0,300,1979,Dynamic Attractions,Minetrain,S
Boomerang Coast to Coaster,Six Flags Discovery Kingdom,Vallejo,Steel,116.5,47,935,Yes,3,148,1998,Vekoma,Boomerang,N
Canyon Blaster,Six Flags Magic Mountain,Valencia,Steel,8,10,NA,No,0,52,1999,E&F Miler,E&F Family,S
Coaster,Blackbeard's Family Entertainment Center,Fresno,Steel,NA,NA,NA,No,0,NA,2014,E&F Miler,E&F Family,N
Coastersaurus,Legoland California,Carlsbad,Steel,18.1,20.5,492.2,No,0,117,2004,Gerstlaurer,Drachenjagd,S
Coast Rider,Knott's Berry Farm,Buena Park,Steel,52,35,1339,No,0,130,2013,Mack Rides,Wilde Maus,S
Cobra,Six Flags Discovery Kingdom,Vallejo,Steel,26.3,22.4,1181.1,No,0,105,2000,Zierer,Tivoli,N
Crazy 8's,John's Incredible Pizza Company,Carson,Steel,16.4,15,190.3,No,0,NA,2019,SBF Visa,SBF Visa Spinning Coaster,S
Crazy Dane Coaster,Scandia ,Sacramento,Steel,NA,NA,NA,No,0,NA,2015,E&F Miler,E&F Wild Mouse,N
Crazy Mouse,Speed Zone,City Of Industry,Steel,42.7,29.1,1377,No,0,215,2021,Zamperla,Twister Coaster,S
Demon,California's Great America,Santa Clara,Steel,102,50,2130,Yes,4,145,1976,Arrow Development,Custom Looper,N
Dragon,Legoland California,Carlsbad,Steel,42.7,28.5,NA,No,0,206,1999,Vekoma,Vekoma Junior,S
Dragon,Pixieland Amusement Park,Concord,Steel,NA,NA,NA,No,0,NA,1995,Wisdom Rides,Dragon Wagon,S
Electric Eel,SeaWorld San Diego,San Diego,Steel,150,62,863,Yes,1,44,2018,Premier Rides,Sky Rocket II,S
Emperor,SeaWorld San Diego,San Diego,Steel,153,60,2411,Yes,3,200,2022,Bollinger & Mabillard,Dive Coaster,S
